Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,movieDetails,,,2023-11-21 22:09:47
Gelu,tvui,browseTitles,,,2023-11-21 22:09:47
Gelu,tvui,postPlay,,,2023-11-21 22:09:26
Gelu,tvui,movieDetails,,,2023-11-21 22:09:26
Gelu,tvui,playback,,,2023-11-21 22:09:22
Gelu,tvui,postPlay,,,2023-11-21 22:09:22
Gelu,tvui,postPlay,,,2023-11-21 21:19:20
Gelu,tvui,playback,,,2023-11-21 21:19:20
Gelu,tvui,playback,,,2023-11-21 21:19:14
Gelu,tvui,postPlay,,,2023-11-21 21:19:14
Gelu,tvui,postPlay,,,2023-11-21 20:26:51
Gelu,tvui,playback,,,2023-11-21 20:26:51
Gelu,tvui,playback,,,2023-11-21 20:26:47
Gelu,tvui,postPlay,,,2023-11-21 20:26:47
Gelu,tvui,postPlay,,,2023-11-21 19:30:58
Gelu,tvui,playback,,,2023-11-21 19:30:58
Gelu,tvui,playback,,,2023-11-21 19:30:53
Gelu,tvui,postPlay,,,2023-11-21 19:30:53
Gelu,tvui,playback,,,2023-11-21 18:42:58
Gelu,tvui,postPlay,,,2023-11-21 18:42:58
Gelu,tvui,postPlay,,,2023-11-21 18:42:52
Gelu,tvui,playback,,,2023-11-21 18:42:52
Gelu,tvui,playback,,,2023-11-21 17:52:31
Gelu,tvui,movieDetails,,,2023-11-21 17:52:31
Gelu,tvui,movieDetails,,,2023-11-21 17:52:27
Gelu,tvui,playback,,,2023-11-21 17:52:27
Gelu,tvui,movieDetails,,,2023-11-21 17:52:01
Gelu,tvui,playback,,,2023-11-21 17:52:01
Gelu,tvui,movieDetails,,,2023-11-21 17:51:52
Gelu,tvui,browseTitles,,,2023-11-21 17:51:52
Gelu,tvui,browseTitles,,,2023-11-21 17:51:25
Gelu,tvui,movieDetails,,,2023-11-21 17:51:25
Gelu,tvui,playback,,,2023-11-21 17:51:22
Gelu,tvui,movieDetails,,,2023-11-21 17:51:22
Gelu,tvui,movieDetails,,,2023-11-21 17:51:11
Gelu,tvui,playback,,,2023-11-21 17:51:11
Gelu,tvui,browseTitles,,,2023-11-21 17:51:07
Gelu,tvui,movieDetails,,,2023-11-21 17:51:07
Gelu,tvui,profilesGate,,,2023-11-21 17:48:30
Gelu,tvui,browseTitles,,,2023-11-21 17:48:30
Gelu,tvui,profilesGate,,,2023-11-18 18:01:45
Gelu,tvui,categoryHub,,,2023-11-17 19:14:09
Gelu,tvui,profilesGate,,,2023-11-17 19:14:09
Gelu,tvui,browseTitlesGallery,,,2023-11-17 17:34:40
Gelu,tvui,browseTitlesGallery,,,2023-11-17 17:34:40
Gelu,tvui,browseTitlesGallery,,,2023-11-17 17:34:40
Gelu,tvui,categoryHub,,,2023-11-17 17:34:40
Gelu,tvui,categoryHub,,,2023-11-17 17:33:49
