Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Gelu,RO,Smart TV,0,ri,,play,title_results,2023-11-14 21:17:24
Gelu,RO,Smart TV,0,ri,,select,title_results,2023-11-14 21:17:21
Gelu,RO,Smart TV,0,ri,The Old Ways,play,title_results,2023-11-14 21:14:19
Gelu,RO,Smart TV,0,ri,The Old Ways,select,title_results,2023-11-14 21:14:17
Gelu,RO,Smart TV,0,ri,,play,title_results,2023-11-14 21:13:47
Gelu,RO,Smart TV,0,ri,,select,title_results,2023-11-14 21:13:45
Gelu,RO,Smart TV,0,ri,5Gang,play,title_results,2023-11-14 21:13:28
Gelu,RO,Smart TV,0,ri,5Gang,select,title_results,2023-11-14 21:13:26
Gelu,RO,Smart TV,0,ri,,select,title_results,2023-11-14 21:12:22
Gelu,RO,Smart TV,0,ri,,select,title_results,2023-11-14 21:07:34
Gelu,RO,Smart TV,0,eno,The School for Good and Evil,play,title_results,2022-12-29 16:05:25
Gelu,RO,Smart TV,0,eno,The School for Good and Evil,play,title_results,2022-12-29 16:05:25
Gelu,RO,Smart TV,0,eno,The School for Good and Evil,select,title_results,2022-12-29 16:05:22
Gelu,RO,Smart TV,0,eno,The School for Good and Evil,select,title_results,2022-12-29 16:05:22
Gelu,RO,Smart TV,0,eno,Enola Holmes,play,title_results,2022-12-29 15:50:31
Gelu,RO,Smart TV,0,eno,Enola Holmes,play,title_results,2022-12-29 15:50:31
Gelu,RO,Smart TV,0,eno,Enola Holmes,select,title_results,2022-12-29 15:50:27
Gelu,RO,Smart TV,0,eno,Enola Holmes,select,title_results,2022-12-29 15:50:27
Gelu,RO,Smart TV,0,en,Enola Holmes,play,title_results,2022-12-28 12:16:45
Gelu,RO,Smart TV,0,en,Enola Holmes,play,title_results,2022-12-28 12:16:45
Gelu,RO,Smart TV,0,en,Enola Holmes,select,title_results,2022-12-28 12:16:41
Gelu,RO,Smart TV,0,en,Enola Holmes,select,title_results,2022-12-28 12:16:41
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,play,title_results,2022-12-26 19:50:51
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,select,title_results,2022-12-26 19:50:46
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,play,title_results,2022-12-26 11:44:39
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,play,title_results,2022-12-26 11:44:39
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,select,title_results,2022-12-26 11:44:38
Gelu,RO,Smart TV,0,sta,Star Trek Beyond,select,title_results,2022-12-26 11:44:38
