Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Gelu,LGTV20223=31006203288,LG DTV 2022 RTK K8Lp UHD TV Smart TV,2023-07-29T18:57:59.748,2023-11-23T15:51:10.159,2023-07-29T19:16:39.532,2023-11-23T15:51:10.159,2023-07-29T18:57:59.748,2023-11-23T15:51:10.159,2023-07-29T19:16:39.532,2023-11-23T15:51:10.159,1970-01-01T00:00:00.000
Gelu,NFCDCH-02-FYMUZ24VMHXWK8KEA222PUGG2J4YAR,Chrome PC (Cadmium),2020-04-17T11:09:17.424,2020-04-17T11:09:17.424,,,2020-04-17T11:09:17.424,2020-04-17T11:09:17.424,,,1970-01-01T00:00:00.000
Gelu,NFAPPL-02-IPHONE14=7-12FFA680ED9F59292D907C1FA7B458789E7B17611D7D28DAAB74CC4D5AD891B7,Apple iPhone 14 iPhone,2023-09-02T18:53:18.827,2023-11-23T11:26:52.582,2023-09-02T18:53:49.427,2023-11-23T11:26:52.582,2023-09-02T18:53:18.827,2023-11-23T11:26:52.582,2023-09-02T18:53:49.427,2023-11-23T11:26:52.582,1970-01-01T00:00:00.000
Gelu,LGTV20213=31006373275,LG DTV 2021 RTK K7Lp UHD TV Smart TV,2022-08-23T14:06:07.560,2023-11-21T22:09:54.905,2022-08-23T14:18:54.088,2023-11-21T22:09:54.905,2022-08-23T14:06:07.560,2023-11-21T22:09:54.905,2022-08-23T14:18:54.088,2023-11-21T22:09:54.905,1970-01-01T00:00:00.000
Gelu,NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,Android DefaultWidevineL3Phone Android Phone,2023-11-03T08:54:55.036,2023-11-18T19:25:00.544,2023-11-03T08:56:26.385,2023-11-18T18:52:41.193,2023-11-03T08:54:55.036,2023-11-18T19:25:00.544,2023-11-03T08:56:26.385,2023-11-18T18:52:41.193,1970-01-01T00:00:00.000
Gelu,SONYKDLU4K0000000000000028257637,Sony UNICORN4K Smart TV,,,,,,,,,1970-01-01T00:00:00.000
Gelu,NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-DB2F34D819DE843431DA059728F4667C7AE1307B3592877F018CB2CC3BEE1295,Android DefaultWidevineL3Phone Android Phone,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,1970-01-01T00:00:00.000
Gelu,NFCDCH-02-H8E3G912HC3YHG8MFF9F5R09HJ88YT,Chrome PC (Cadmium),2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2023-02-24T18:34:49.899
Gelu,NFANDROID1-PRV-P-SAMSUSM-S906B-24461-88E68F63C9D518E0AAFEB807EDE96801F0F9D0BB85C9B970598D056764655C28,DefaultWidevineAndroidPhone,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,1970-01-01T00:00:00.000
Gelu,NFAPPL-02-IPHONE14=7-550B80EEA574D3356B8E5DF18C73AD63F4A96D6651017AE086C556B8D04E661A,Apple iPhone 14 iPhone,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,1970-01-01T00:00:00.000
