Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,2a02:2f0e:5608:1100:11c3:ae0e:9beb:be45,RO,Iasi,IASI,2023-11-03 08:54:45
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,5.14.133.153,RO,Brasov,BRASOV,2023-11-18 18:46:03
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,5.2.188.93,RO,Iasi,IASI,2023-11-04 11:19:43
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,5.14.131.153,RO,Prahova,PLOIESTI,2023-11-05 08:13:45
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,2a02:2f0e:5e11:5700:16f5:f43d:959d:a131,RO,Iasi,IASI,2023-11-12 17:05:21
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,2a02:2f0e:5e11:5700:a335:7986:411b:84a9,RO,Iasi,IASI,2023-11-18 19:25:00
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,2a02:2f0e:5608:1100:64e5:febc:65a7:fa01,RO,Iasi,IASI,2023-11-08 13:07:03
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,2a02:2f0e:5608:1100:e91f:5ff0:d13c:8738,RO,Iasi,IASI,2023-11-03 17:25:19
NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,samsung_SM-S906B_chid_111940d0-7b18-11e9-9eff-7b5bbdffb61c,86.124.125.153,RO,Cluj,DEJ,2023-11-18 18:50:01
NFAPPL-02-IPHONE14=7-550B80EEA574D3356B8E5DF18C73AD63F4A96D6651017AE086C556B8D04E661A,APPLE_iPhone14-7,APPLE_iPhone14-7,2a02:2f0e:5619:c700:fdb9:d82:8b1b:5f83,RO,Iasi,IASI,2023-08-28 20:08:54
