Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Gelu,2023-11-22 16:13:02,Multichannel Prepromote,NOTIFICATIONS,RO,,,Last Call for Istanbul,YAHOO.COM,,,--,0
Gelu,2023-11-22 12:30:19,Multichannel Prepromote,EMAIL,RO,ro-RO,ro,Last Call for Istanbul,YAHOO.COM,,,--,0
Gelu,2023-11-20 15:40:07,Multichannel Prepromote,NOTIFICATIONS,RO,,,Squid Game: The Challenge,YAHOO.COM,,,--,0
Gelu,2023-11-20 11:13:11,Multichannel Prepromote,EMAIL,RO,ro-RO,ro,Squid Game: The Challenge,YAHOO.COM,,,--,0
Gelu,2023-11-15 11:19:25,Multichannel Coming Soon,NOTIFICATIONS,RO,,,Best. Christmas. Ever!,YAHOO.COM,,,--,0
Gelu,2023-11-14 15:39:16,Multichannel Prepromote,NOTIFICATIONS,RO,,,Best. Christmas. Ever!,YAHOO.COM,,,--,0
Gelu,2023-11-14 13:16:29,Multichannel Prepromote,EMAIL,RO,ro-RO,ro,Best. Christmas. Ever!,YAHOO.COM,,,--,0
Gelu,2023-11-07 14:23:04,Multichannel Watch It Again,NOTIFICATIONS,RO,,,Gilmore Girls: A Year in the Life,YAHOO.COM,,,--,0
Gelu,2023-11-07 10:00:12,Multichannel Watch It Again,EMAIL,RO,ro-RO,ro,Gilmore Girls: A Year in the Life,YAHOO.COM,,,--,0
Gelu,2023-11-03 15:56:43,Multichannel Continue Watching,NOTIFICATIONS,RO,,,Before I Fall,YAHOO.COM,,,--,0
Gelu,2023-11-03 11:31:10,Multichannel Continue Watching,EMAIL,RO,ro-RO,ro,Before I Fall,YAHOO.COM,,,--,0
Gelu,2023-11-02 18:10:08,Launch Live Push,PUSH,RO,ro-RO,ro,Baby Animal Cam,YAHOO.COM,,,APPLE_iPad4-1,0
Gelu,2023-11-02 17:22:23,Launch Live Inapp,NOTIFICATIONS,RO,,,Baby Animal Cam,YAHOO.COM,,,--,0
Gelu,2023-11-02 13:35:30,Launch Live Email,EMAIL,RO,ro-RO,ro,Baby Animal Cam,YAHOO.COM,,,--,0
Gelu,2023-11-01 15:52:26,Multichannel Coming Soon,EMAIL,RO,ro-RO,ro,All the Light We Cannot See,YAHOO.COM,,,--,0
Gelu,2023-11-01 11:53:14,Multichannel Coming Soon,NOTIFICATIONS,RO,,,All the Light We Cannot See,YAHOO.COM,,,--,0
Gelu,2023-10-30 21:10:55,Collect Phone Interstitial,ALERTS,RO,,,,YAHOO.COM,,,--,0
Gelu,2023-10-26 13:26:29,Multichannel Prepromote,EMAIL,RO,ro-RO,ro,Castaway Diva,YAHOO.COM,,,--,0
Gelu,2023-10-26 09:11:23,Multichannel Prepromote,PUSH,RO,ro-RO,ro,Castaway Diva,YAHOO.COM,,,APPLE_iPad4-1,0
Gelu,2023-10-26 09:11:22,Multichannel Prepromote,NOTIFICATIONS,RO,,,Castaway Diva,YAHOO.COM,,,--,0
Gelu,2023-10-21 13:16:40,Multichannel Launch,PUSH,RO,ro-RO,ro,Bodies,YAHOO.COM,,,APPLE_iPad4-1,0
Gelu,2023-10-21 13:16:39,Multichannel Launch,NOTIFICATIONS,RO,,,Bodies,YAHOO.COM,,,--,0
Gelu,2023-10-21 11:50:45,Multichannel Launch,EMAIL,RO,ro-RO,ro,Bodies,YAHOO.COM,,,--,0
Gelu,2023-10-20 11:22:28,Multichannel Continue Watching,EMAIL,RO,ro-RO,ro,The Umbrella Academy,YAHOO.COM,,,--,0
Gelu,2023-10-20 09:25:25,Multichannel Continue Watching,PUSH,RO,ro-RO,ro,The Umbrella Academy,YAHOO.COM,,,APPLE_iPad4-1,0
Gelu,2023-10-20 09:25:24,Multichannel Continue Watching,NOTIFICATIONS,RO,,,The Umbrella Academy,YAHOO.COM,,,--,0
Gelu,2023-10-19 13:22:22,Multichannel Prepromote,PUSH,RO,ro-RO,ro,The Lost City,YAHOO.COM,,,APPLE_iPad4-1,0
Gelu,2023-10-19 13:22:22,Multichannel Prepromote,NOTIFICATIONS,RO,,,The Lost City,YAHOO.COM,,,--,0
