Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-12-10
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-12-10
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-12-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-11-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-11-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-11-10
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-10-10
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-10-10
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-10-10
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-09-10
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-09-10
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-09-10
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-07-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2023-08-10
2023-07-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2023-08-10
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2023-01-25
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2023-01-25
2022-12-25,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2022-12-25,,,payment_transaction,CC,4328,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2022-08-23,2022-08-23,2022-09-22,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-09-23
2022-08-23,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2022-08-23,2022-08-23,2022-09-22,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-09-23
2022-08-23,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,DECLINED,,RO,
