Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2022-09-10 20:38:08,00:11:46,,Barbie in a Mermaid Tale,,Chrome PC (Cadmium),01:05:42,01:05:42,RO (Romania)
Kids,2019-03-28 20:24:20,00:01:54,,Gangsta Granny,,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,01:07:40,01:07:40,GB (United Kingdom)
Kids,2018-08-30 10:08:27,00:14:13,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:14:13,00:14:13,RO (Romania)
Kids,2018-08-30 10:08:15,00:00:07,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:00:07,Not latest view,RO (Romania)
Kids,2018-06-08 12:14:50,00:07:34,,Fuller House: Season 2: DJ and Kimmy's High School Reunion (Episode 11),,iPad Air Wi-Fi,00:09:27,00:09:27,RO (Romania)
Kids,2018-06-08 12:10:01,00:03:55,,Fuller House: Season 2: New Kids in the House (Episode 10),,iPad Air Wi-Fi,00:30:02,00:30:02,RO (Romania)
Kids,2018-06-07 13:52:23,00:23:30,Autoplayed: user action: Unspecified; ,Fuller House: Season 2: New Kids in the House (Episode 10),,Philips PHTV15AMT2 Smart TV,00:24:28,Not latest view,RO (Romania)
Kids,2018-06-07 13:25:52,00:26:27,,Fuller House: Season 2: Glazed & Confused (Episode 9),,Philips PHTV15AMT2 Smart TV,00:27:25,00:27:25,RO (Romania)
Kids,2018-06-07 13:00:49,00:24:59,Autoplayed: user action: None; ,Fuller House: Season 2: A Tangled Web (Episode 8),,Philips PHTV15AMT2 Smart TV,00:25:57,00:25:57,RO (Romania)
Kids,2018-06-07 12:50:02,00:10:44,,Fuller House: Season 2: Girl Talk (Episode 7),,Philips PHTV15AMT2 Smart TV,00:27:13,00:27:13,RO (Romania)
Kids,2018-06-07 12:33:39,00:13:55,,Fuller House: Season 2: Girl Talk (Episode 7),,Philips PHTV15AMT2 Smart TV,00:16:29,Not latest view,RO (Romania)
Kids,2018-06-06 13:28:46,00:01:35,,Fuller House: Season 2: Girl Talk (Episode 7),,iPad Air Wi-Fi,00:02:35,Not latest view,RO (Romania)
Kids,2018-06-06 13:26:34,00:02:03,,Fuller House: Season 2: Fuller Thanksgiving (Episode 6),,iPad Air Wi-Fi,00:31:44,00:31:44,RO (Romania)
Kids,2018-06-05 13:38:54,00:28:22,Autoplayed: user action: None; ,Fuller House: Season 2: Fuller Thanksgiving (Episode 6),,Philips PHTV15AMT2 Smart TV,00:29:36,Not latest view,RO (Romania)
Kids,2018-06-05 13:14:39,00:24:12,Autoplayed: user action: None; ,Fuller House: Season 2: Doggy Daddy (Episode 5),,Philips PHTV15AMT2 Smart TV,00:25:10,00:25:10,RO (Romania)
Kids,2018-06-05 12:49:49,00:24:46,Autoplayed: user action: None; ,Fuller House: Season 2: Curse of Tanner Manor (Episode 4),,Philips PHTV15AMT2 Smart TV,00:25:44,00:25:44,RO (Romania)
Kids,2018-06-05 12:22:42,00:27:04,,Fuller House: Season 2: Ramona's Not-So-Epic First Kiss (Episode 3),,Philips PHTV15AMT2 Smart TV,00:28:02,00:28:02,RO (Romania)
Kids,2018-06-05 11:28:15,00:25:14,Autoplayed: user action: Unspecified; ,Fuller House: Season 2: Mom Interference (Episode 2),,Philips PHTV15AMT2 Smart TV,00:26:12,00:26:12,RO (Romania)
Kids,2018-06-05 10:59:30,00:28:41,Autoplayed: user action: None; ,Fuller House: Season 2: Welcome Back (Episode 1),,Philips PHTV15AMT2 Smart TV,00:29:39,00:29:39,RO (Romania)
Kids,2018-06-05 10:29:02,00:30:23,,Fuller House: Season 1: Love Is in the Air (Episode 13),,Philips PHTV15AMT2 Smart TV,00:32:08,00:32:08,RO (Romania)
